epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6535,3.05231,14.0273,2.43416,0,0,0,0,3.40433,9.40993,2.66198,6.25e-05,6.25e-05,6.25e-05
2,40.0598,2.72301,12.848,2.21244,0.00322,0.20455,0.02194,0.0082,2.84045,5.92452,2.17855,0.000135798,0.000135798,0.000135798
3,48.4776,1.55624,6.16243,1.30382,0.73705,0.18182,0.20872,0.16778,1.44121,4.25825,1.20814,0.000207241,0.000207241,0.000207241
4,56.779,1.16534,3.68214,1.08415,0.36592,0.40909,0.27688,0.20629,1.33758,4.10113,1.09467,0.000276827,0.000276827,0.000276827
5,64.6555,1.01032,3.15315,1.0335,0.49834,0.6089,0.52795,0.33918,1.43569,2.83027,1.08643,0.000344556,0.000344556,0.000344556
6,72.5741,1.0536,2.61731,1.04884,0.67668,0.56109,0.59258,0.36327,1.41664,7.4864,1.12475,0.00041043,0.00041043,0.00041043
7,80.3763,1.00481,2.17146,1.02429,0.66337,0.77273,0.63032,0.42654,1.24937,5.20046,1.03287,0.000474447,0.000474447,0.000474447
8,87.7938,0.96471,1.75119,1.00489,0.75015,0.74134,0.81624,0.50963,1.46367,1.59208,1.11351,0.000536608,0.000536608,0.000536608
9,95.0548,0.95278,1.54665,0.99314,0.81628,0.83794,0.89308,0.56962,1.28456,1.07369,1.05715,0.000596913,0.000596913,0.000596913
10,102.145,0.88255,1.42264,0.97834,0.92407,0.75989,0.87292,0.53161,1.32366,1.04204,1.05614,0.000655361,0.000655361,0.000655361
11,109.811,0.86081,1.37579,0.97287,0.88813,0.85626,0.87903,0.52436,1.44101,0.85701,1.05697,0.000711953,0.000711953,0.000711953
12,117.141,0.93965,1.15354,1.00192,0.89879,0.84831,0.9126,0.62118,1.06978,0.84624,0.97822,0.000766689,0.000766689,0.000766689
13,125.018,0.8818,1.16189,0.98373,0.84265,0.88778,0.94136,0.69175,1.06946,0.82706,0.9959,0.000819569,0.000819569,0.000819569
14,132.684,0.89022,1.09854,0.95831,0.84815,0.92347,0.97013,0.66241,1.04333,0.81854,1.04013,0.000870592,0.000870592,0.000870592
15,139.475,0.92476,1.03559,0.97284,0.84815,0.92347,0.97013,0.66241,1.04333,0.81854,1.04013,0.000919759,0.000919759,0.000919759
16,147.13,0.9834,0.96623,0.97924,0.93945,0.93773,0.99313,0.62527,1.41407,0.89156,1.06102,0.00096707,0.00096707,0.00096707
17,154.284,0.85721,0.89464,0.96347,0.83783,0.85557,0.91092,0.6004,1.32356,0.92617,1.04515,0.0010025,0.0010025,0.0010025
18,161.574,0.82632,0.88607,0.95236,0.96632,0.8975,0.98206,0.62669,1.18156,1.00776,1.01119,0.000987031,0.000987031,0.000987031
19,168.836,0.84847,0.83229,0.92324,0.96632,0.8975,0.98206,0.62669,1.18156,1.00776,1.01119,0.000971562,0.000971562,0.000971562
20,176.955,0.83057,0.85634,0.94698,0.7332,0.88535,0.92473,0.67396,1.06837,1.05251,0.99217,0.000956094,0.000956094,0.000956094
21,184.254,0.83298,0.80614,0.95244,0.76133,0.94,0.97912,0.67499,1.06665,1.6809,0.99353,0.000940625,0.000940625,0.000940625
22,191.375,0.85927,0.74981,0.94953,0.69985,0.95502,0.98063,0.72042,1.00286,1.49016,0.96018,0.000925156,0.000925156,0.000925156
23,199.03,0.74057,0.75966,0.93307,0.69985,0.95502,0.98063,0.72042,1.00286,1.49016,0.96018,0.000909688,0.000909688,0.000909688
24,205.97,0.76405,0.7421,0.92944,0.8526,0.96389,0.995,0.73573,0.89643,0.91944,0.92668,0.000894219,0.000894219,0.000894219
25,213.226,0.76239,0.71112,0.93389,0.94456,1,0.995,0.67273,1.0562,0.65043,0.95983,0.00087875,0.00087875,0.00087875
26,220.861,0.74935,0.7044,0.92305,0.97744,1,0.995,0.67292,1.02554,0.55744,0.93802,0.000863281,0.000863281,0.000863281
27,227.601,0.75642,0.74838,0.9237,0.97744,1,0.995,0.67292,1.02554,0.55744,0.93802,0.000847813,0.000847813,0.000847813
28,235.265,0.72869,0.61296,0.90351,0.89566,0.9881,0.995,0.69289,1.00533,0.86098,0.92356,0.000832344,0.000832344,0.000832344
29,242.436,0.69174,0.57754,0.92023,0.81366,0.96909,0.995,0.66913,0.9961,1.8192,0.9113,0.000816875,0.000816875,0.000816875
30,249.758,0.67149,0.60954,0.91507,0.82399,0.96492,0.995,0.64218,1.02733,1.88598,0.92601,0.000801406,0.000801406,0.000801406
31,256.876,0.6986,0.61389,0.90476,0.82399,0.96492,0.995,0.64218,1.02733,1.88598,0.92601,0.000785938,0.000785938,0.000785938
32,264.267,0.64405,0.59263,0.88602,0.82316,0.99628,0.995,0.74624,0.84759,1.08886,0.90413,0.000770469,0.000770469,0.000770469
33,271.395,0.65311,0.56956,0.9042,0.94027,1,0.995,0.72658,0.90079,0.72956,0.91104,0.000755,0.000755,0.000755
34,278.737,0.70016,0.57354,0.90379,0.97115,1,0.995,0.71059,0.90461,0.64091,0.90134,0.000739531,0.000739531,0.000739531
35,286.624,0.69601,0.55509,0.90558,0.97115,1,0.995,0.71059,0.90461,0.64091,0.90134,0.000724062,0.000724062,0.000724062
36,294.382,0.6444,0.53751,0.88157,0.9769,1,0.995,0.74591,0.83171,0.54681,0.88497,0.000708594,0.000708594,0.000708594
37,301.754,0.68067,0.54604,0.90155,0.97756,1,0.995,0.75908,0.78726,0.51629,0.87701,0.000693125,0.000693125,0.000693125
