epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6642,2.44353,10.8558,2.00805,0.4648,0.22283,0.26568,0.1599,1.70774,5.04292,1.34192,0.000275,0.000275,0.000275
2,83.1934,1.25964,3.40878,1.17375,0.72044,0.63513,0.74204,0.43359,1.58324,2.41941,1.16963,0.000557859,0.000557859,0.000557859
3,115.564,1.22632,2.28688,1.10852,0.77913,0.71112,0.65641,0.3551,1.68129,1.73191,1.33512,0.000835975,0.000835975,0.000835975
4,149.175,1.27617,1.68796,1.0888,0.85451,0.60167,0.73194,0.49109,1.31239,2.77192,1.308,0.00110935,0.00110935,0.00110935
5,182.34,1.22503,1.45897,1.06109,0.89641,0.59971,0.76273,0.43036,1.63402,2.35117,1.43774,0.00120875,0.00120875,0.00120875
6,215.118,1.25619,1.28374,1.12691,0.55138,0.73889,0.76468,0.49602,1.23857,2.12952,1.18711,0.00119844,0.00119844,0.00119844
7,247.522,1.12965,1.13841,1.16243,0.7829,0.98864,0.96006,0.5989,1.19539,1.72857,1.16814,0.00118812,0.00118812,0.00118812
8,279.921,1.0525,1.10533,1.07743,0.88302,0.84068,0.94238,0.56793,1.25838,2.03384,1.10385,0.00117781,0.00117781,0.00117781
9,312.261,1.0777,0.96103,1.08776,0.81348,0.88636,0.95618,0.57644,1.36632,1.97106,1.19796,0.0011675,0.0011675,0.0011675
10,344.049,1.04035,0.87248,1.10418,0.88575,0.87096,0.96321,0.58375,1.40991,1.74384,1.16599,0.00115719,0.00115719,0.00115719
11,375.862,0.95509,0.77822,1.05361,0.85466,1,0.98344,0.70438,0.9462,0.72254,1.012,0.00114688,0.00114688,0.00114688
12,407.62,0.97707,0.71657,1.03572,0.9631,0.98864,0.97595,0.62289,1.16975,0.80678,1.073,0.00113656,0.00113656,0.00113656
13,439.487,0.94664,0.73296,1.03847,0.98055,0.98864,0.98434,0.67824,1.04719,0.60974,1.04244,0.00112625,0.00112625,0.00112625
14,471.412,0.91468,0.66861,1.03758,0.93126,0.98264,0.99006,0.65921,1.13701,0.78012,1.04673,0.00111594,0.00111594,0.00111594
15,503.137,0.92285,0.66377,1.01861,0.97603,0.99432,0.98848,0.74309,0.90653,0.64795,0.95207,0.00110563,0.00110563,0.00110563
16,534.877,0.87301,0.61579,1.00702,0.98092,1,0.99012,0.72148,0.92719,0.54367,0.9797,0.00109531,0.00109531,0.00109531
17,567.073,0.92242,0.63607,0.99362,0.9578,0.98864,0.982,0.6101,1.1917,0.64858,1.03626,0.001085,0.001085,0.001085
