epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.109,2.12803,8.21816,1.69125,0,0,0,0,0.82385,7.05251,1.24215,2e-05,2e-05,2e-05
2,698.179,1.82391,6.51424,1.59443,0,0,0,0,0.75296,6.91448,1.13906,4.9505e-05,4.9505e-05,4.9505e-05
3,1061.67,1.20757,6.28086,1.21134,0,0,0,0,0.73563,6.80678,1.06871,7.8416e-05,7.8416e-05,7.8416e-05
4,1640.92,0.87289,5.82039,1.01278,0.04167,0.33333,0.18167,0.17707,0.72993,6.79793,1.00009,0.000106733,0.000106733,0.000106733
5,2070.6,0.77693,5.63849,0.94257,0.02083,0.33333,0.16583,0.15217,0.65854,6.71007,0.96112,0.000134456,0.000134456,0.000134456
6,2480.38,0.70195,4.2867,0.89452,0.01905,0.33333,0.19333,0.1811,0.56284,6.56037,0.78527,0.000161585,0.000161585,0.000161585
7,2737.36,0.63991,4.35292,0.88119,0.01961,0.33333,0.28537,0.27352,0.47669,6.44989,0.76182,0.00018812,0.00018812,0.00018812
8,3082,0.65487,4.33745,0.87962,0.02381,0.33333,0.2437,0.2437,0.454,6.36003,0.74895,0.000214061,0.000214061,0.000214061
9,3429.87,0.63053,3.44243,0.84378,0.03922,0.33333,0.18643,0.18161,0.46186,6.39756,0.75658,0.000239408,0.000239408,0.000239408
10,3736.76,0.58567,3.45581,0.87691,0.02963,0.33333,0.1456,0.14069,0.52006,6.48558,0.76498,0.000264161,0.000264161,0.000264161
11,4092.07,0.59785,3.5426,0.87272,0.02667,0.33333,0.15657,0.14492,0.57629,6.41035,0.79231,0.00028832,0.00028832,0.00028832
12,4541.43,0.57533,3.14294,0.88056,0.0303,0.33333,0.2187,0.20529,0.45478,6.45463,0.79312,0.000311885,0.000311885,0.000311885
13,4891.31,0.53776,3.28254,0.84775,0.04762,0.33333,0.13976,0.04636,0.86048,7.01696,0.93146,0.000334856,0.000334856,0.000334856
14,5160.57,0.56347,2.94499,0.84118,0.02116,0.33333,0.05112,0.02094,0.82591,7.17481,1.33889,0.000357233,0.000357233,0.000357233
15,5596.11,0.60309,3.60575,0.86583,0.13333,0.33333,0.13976,0.0559,0.95462,7.54576,1.37896,0.000379016,0.000379016,0.000379016
16,6066.9,0.56162,3.02228,0.84632,0.04167,0.33333,0.18643,0.14914,0.84364,6.92244,0.91898,0.000400205,0.000400205,0.000400205
17,6578.22,0.58337,3.03198,0.85469,0.01709,0.33333,0.19238,0.19238,0.5391,6.45356,0.75865,0.0004208,0.0004208,0.0004208
18,6941.95,0.57222,3.23538,0.83655,0.02106,0.66667,0.19197,0.18082,0.48764,6.44021,0.76423,0.000440801,0.000440801,0.000440801
19,7318.32,0.55613,2.74817,0.85014,0.02472,0.66667,0.27243,0.24293,0.52204,6.41483,0.76566,0.000460208,0.000460208,0.000460208
