epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.977,2.12803,8.21815,1.69125,0,0,0,0,0.82385,7.05251,1.24215,2e-05,2e-05,2e-05
2,320.355,1.82392,6.5143,1.59442,0,0,0,0,0.75296,6.91451,1.13906,4.9505e-05,4.9505e-05,4.9505e-05
3,484.71,1.20701,6.28081,1.21081,0,0,0,0,0.73519,6.80737,1.06749,7.8416e-05,7.8416e-05,7.8416e-05
4,689.869,0.86126,5.82139,1.01006,0.04167,0.33333,0.20627,0.19922,0.72135,6.75221,1.0003,0.000106733,0.000106733,0.000106733
5,826.138,0.76158,5.56222,0.93938,0.02083,0.33333,0.19333,0.18043,0.65385,6.64411,0.94827,0.000134456,0.000134456,0.000134456
6,962.74,0.68169,4.29257,0.89261,0.02151,0.33333,0.18952,0.1832,0.51695,6.56207,0.77561,0.000161585,0.000161585,0.000161585
7,1099.82,0.65331,4.38853,0.8833,0.06061,0.33333,0.19833,0.19309,0.47309,6.46676,0.76504,0.00018812,0.00018812,0.00018812
8,1237.21,0.63729,4.39996,0.86732,0.05333,0.33333,0.18643,0.18175,0.45279,6.38854,0.75031,0.000214061,0.000214061,0.000214061
9,1373.69,0.64144,3.47013,0.84192,0.04444,0.33333,0.13267,0.12783,0.4269,6.29205,0.7533,0.000239408,0.000239408,0.000239408
10,1520.84,0.5919,3.46783,0.87851,0.05128,0.33333,0.13267,0.13267,0.42266,6.3055,0.75156,0.000264161,0.000264161,0.000264161
11,1661.6,0.5931,3.62163,0.86638,0.0226,0.33333,0.13267,0.12098,0.49036,6.31013,0.76785,0.00028832,0.00028832,0.00028832
12,1799.05,0.56019,3.23341,0.8771,0.01347,0.33333,0.13976,0.12579,0.43412,6.37823,0.75166,0.000311885,0.000311885,0.000311885
13,1932.66,0.51619,3.28167,0.84634,0.00823,0.33333,0.13267,0.11174,0.60069,6.2947,0.7919,0.000334856,0.000334856,0.000334856
14,2074.98,0.53503,2.90839,0.8369,0.0062,0.33333,0.13267,0.07057,0.72594,6.86025,0.85748,0.000357233,0.000357233,0.000357233
15,2212.47,0.59533,3.57343,0.86654,0.00519,0.33333,0.09495,0.05279,1.01751,7.48975,1.1148,0.000379016,0.000379016,0.000379016
16,2356.36,0.57186,3.00989,0.84789,0.00553,0.33333,0.13253,0.06186,1.05108,7.55674,1.0957,0.000400205,0.000400205,0.000400205
17,2498.05,0.5754,2.95505,0.86285,0.00641,0.33333,0.17667,0.13889,0.71615,7.1655,0.89105,0.0004208,0.0004208,0.0004208
18,2635.27,0.55527,3.24104,0.83627,0.00617,0.33333,0.20389,0.16417,0.60601,6.85583,0.83599,0.000440801,0.000440801,0.000440801
19,2773.56,0.55381,2.65987,0.85661,0.00677,0.33333,0.21222,0.19923,0.55443,6.67928,0.80597,0.000460208,0.000460208,0.000460208
20,2911.61,0.59753,2.91717,0.80598,0.01003,0.33333,0.21222,0.19926,0.52477,6.57,0.80337,0.000479021,0.000479021,0.000479021
21,3044.43,0.56731,4.1135,0.84246,0.00601,0.33333,0.20204,0.19006,0.52801,6.44937,0.82043,0.00049724,0.00049724,0.00049724
22,3178.04,0.63204,2.92568,0.85252,0.00419,0.33333,0.215,0.20589,0.52307,6.46071,0.80361,0.000514865,0.000514865,0.000514865
23,3313.54,0.57445,2.382,0.80571,0.01178,1,0.42557,0.38916,0.50761,6.25046,0.78767,0.000531896,0.000531896,0.000531896
